id,category,question,answer,token_count
1,Technology & Computing,What is machine learning?,"Machine learning is a subset of artificial intelligence that enables systems to learn and improve from experience without being explicitly programmed, relying on patterns and inference instead.",33
2,Technology & Computing,How does blockchain ensure security?,"Blockchain ensures security through decentralization, cryptographic hashing, and consensus mechanisms, making it extremely difficult to alter any single record without altering the entire network.",31
3,Technology & Computing,What is the primary function of an API?,An API (Application Programming Interface) allows different software applications to communicate with each other by defining a set of rules and protocols for requesting and exchanging data.,37
4,Technology & Computing,Why is cloud computing beneficial for startups?,"Cloud computing benefits startups by reducing upfront capital costs for hardware, offering scalable resources that grow with the company, and providing access to enterprise-grade technology.",34
5,Technology & Computing,What causes a DDoS attack?,"A Distributed Denial of Service attack occurs when multiple compromised systems flood a target server, service, or network with a massive amount of traffic, rendering it unavailable to legitimate users.",37
6,Technology & Computing,How does a solid-state drive differ from a hard disk drive?,"An SSD uses flash memory to store data with no moving parts, resulting in faster read/write speeds and better durability, whereas an HDD uses mechanical spinning disks and a read/write head.",44
7,Technology & Computing,What is the purpose of version control systems like Git?,"Version control systems track and manage changes to code over time, allowing multiple developers to collaborate, revert to previous states, and prevent code conflicts.",36
8,Technology & Computing,Can you explain the concept of edge computing?,"Edge computing processes data closer to where it is generated (like IoT devices) rather than in a centralized cloud, reducing latency and bandwidth usage.",34
9,Technology & Computing,What are neural networks inspired by?,"Neural networks are computational models inspired by the structure and function of the human brain, consisting of interconnected nodes (neurons) organized in layers to process information.",34
10,Technology & Computing,How does encryption protect digital privacy?,"Encryption converts readable data into an encoded format (ciphertext) that can only be decoded by authorized parties possessing the correct cryptographic key, ensuring data remains private during transmission or storage.",38
11,Space & Astronomy,Why does the sun appear to change color throughout the day?,"The sun appears to change color due to Rayleigh scattering; shorter blue wavelengths scatter in the atmosphere during midday, while longer red and orange wavelengths dominate at sunrise and sunset when light travels through more atmosphere.",49
12,Space & Astronomy,What is a black hole?,"A black hole is a region of spacetime where gravity is so intense that nothing, not even light or other electromagnetic waves, has enough energy to escape its event horizon.",37
13,Space & Astronomy,How do astronauts sleep in space?,"Astronauts sleep in small crew cabins, strapped into sleeping bags attached to the wall to prevent floating around and bumping into equipment in the microgravity environment.",34
14,Space & Astronomy,"What is the difference between a meteor, meteoroid, and meteorite?",A meteoroid is a small rock in space; a meteor is the streak of light seen when it burns up in Earth's atmosphere; a meteorite is the surviving piece that strikes the Earth's surface.,46
15,Space & Astronomy,Why is Mars referred to as the Red Planet?,"Mars is called the Red Planet because its surface is covered with iron oxide (rust), which gives the soil and dust a distinct reddish appearance.",36
16,Space & Astronomy,What causes the tides on Earth?,"Tides are caused primarily by the gravitational pull of the Moon, and to a lesser extent the Sun, which bulges the ocean water toward and away from the celestial bodies.",38
17,Space & Astronomy,How long does it take for sunlight to reach Earth?,"It takes approximately 8 minutes and 20 seconds for sunlight to travel from the Sun to Earth, covering a distance of about 93 million miles at the speed of light.",42
18,Space & Astronomy,What is the Great Red Spot on Jupiter?,"The Great Red Spot is a giant, persistent high-pressure storm in Jupiter's atmosphere, large enough to engulf Earth, which has been raging for at least several hundred years.",38
19,Space & Astronomy,Why do stars twinkle?,"Stars twinkle (stellar scintillation) because their light passes through Earth's turbulent atmosphere, which bends the light rays in random directions, causing the apparent brightness to fluctuate.",32
20,Space & Astronomy,What is a light-year?,"A light-year is a unit of astronomical distance equal to the distance that light travels in a vacuum in one Julian year, which is about 5.88 trillion miles.",34
21,Biology & Nature,How does photosynthesis convert sunlight into energy?,"Photosynthesis converts sunlight into chemical energy by using chlorophyll to capture light, which drives a reaction converting carbon dioxide and water into glucose and oxygen.",34
22,Biology & Nature,What role do mitochondria play in a cell?,"Mitochondria are known as the powerhouses of the cell because they generate most of the cell's supply of adenosine triphosphate (ATP), used as a source of chemical energy.",38
